,size,score,code,Weights0,Bias0,Weights1,Bias1,Weights2,Bias2
0,"[2, 4, 4, 1]",9772.731423118285,,"[[-0.6287932803306165, 0.11154853779491111, -0.4656592968169012, 0.4715307129995143], [-0.18120087188822426, -0.3048516039096002, -0.6412656658368128, -1.7541836348339317]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.4421119506536515, 0.8775644130196584, -1.8802255850929084, -1.464188613989779], [0.08642698505113201, -0.1571230016817639, -0.5439350017271193, -0.9770403778624589], [-0.9010139972320776, 1.0155658085378458, 0.5208775833209753, -0.3703841818571403], [1.5039810768826138, 0.014565802663299774, -1.1538701459711367, -1.240906230559243]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.4859284739262602], [0.3000168777530003], [-0.496888420557541], [-1.8666588479401798]]",[[0.0]]
1,"[2, 4, 4, 1]",9772.731423118285,,"[[-1.0152275075579602, 0.4651099294939703, 0.5543290356208085, -0.506254980814455], [0.5015259448823252, 0.04420163690532187, 0.47073668977780575, -1.1507681342930283]]","[[0.0, 0.0, 0.0, 0.0]]","[[-1.484094547782404, -0.1523574612097352, 0.3038010996591946, -0.4237584428141113], [1.6310523400900074, -1.8317971539376068, 0.35476706558310694, 0.537213174770899], [-0.28396007289981284, 1.869345094534007, 0.033371787968464, -0.7762283978090192], [1.3594818021206925, 0.10851715879050182, -0.47134057316442324, 0.02365586502836574]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.4014137420761452], [0.0994310990296722], [2.4674891822649423], [1.2968173558998284]]",[[0.0]]
2,"[2, 4, 4, 1]",9999.99999999471,,"[[-0.7126071117351873, 0.7565091536951577, -0.8304682183779559, -0.9725471050578598], [-0.5330867468708648, -0.0996394375015908, 1.2043942213424033, -1.5762367832669997]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.3818589674389234, 0.9901989025712885, -0.038484254892825635, -0.3247144248814233], [0.8043900493596193, 2.4376117583908203, -0.09586206864210205, -0.7250770010024563], [-0.7651972851310684, 0.4996575067449529, -1.2700807806207957, 1.00785497245445], [-1.1657266054291928, 1.8783075827530067, 0.18651813994777455, -0.4494303900613911]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.5334750884655364], [-0.7873565977207023], [-0.32509975859172746], [0.3899945512350012]]",[[0.0]]
3,"[2, 4, 4, 1]",3417.0788124428723,,"[[-0.017313946118563284, -1.2033726910348892, 0.5847612293231723, -0.36738244725189123], [-1.1409749863903895, 0.3414736326278663, 0.6626807871168908, 0.0029567828803069183]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.237373317603158, 0.8211987674233852, -1.6903039590276026, -0.29140099785362794], [-0.32471248648682643, 0.5135044396794587, -1.3058491039366869, 0.0318003211735061], [0.584495795748189, -2.323920750974989, 1.4075096509845846, -0.19370800751732534], [0.3819614293527308, -0.14412101922699827, -0.4410474831026071, -0.2591520996383642]]","[[0.0, 0.0, 0.0, 0.0]]","[[-1.2888127189794085], [-1.189026311655354], [1.0143718585366335], [0.6497282457545395]]",[[0.0]]
4,"[2, 4, 4, 1]",9772.731423118285,,"[[-0.6287932803306165, 0.11154853779491111, -0.4656592968169012, 0.4715307129995143], [-0.18120087188822426, -0.3048516039096002, -0.6412656658368128, -1.7541836348339317]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.4421119506536515, 0.8775644130196584, -1.8802255850929084, -1.464188613989779], [0.08642698505113201, -0.1571230016817639, -0.5439350017271193, -0.9770403778624589], [-0.9010139972320776, 1.0155658085378458, 0.5208775833209753, -0.3703841818571403], [1.5039810768826138, 0.014565802663299774, -1.1538701459711367, -1.240906230559243]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.4859284739262602], [0.3000168777530003], [-0.496888420557541], [-1.8666588479401798]]",[[0.0]]
5,"[2, 4, 4, 1]",9772.731423118285,,"[[1.0286425628855882, 0.44776425904083883, 0.44766069305630296, 1.1916199976349382], [-1.0842234948906064, 2.756032358997844, -0.10395588094987149, 0.4585359420199367]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.632762844218145, 1.401187815481495, -1.5410001240036455, 1.7086165539990137], [0.12355951710425338, -1.3327772816169448, 1.0258286678544832, -1.2557776810212764], [-0.08320019365483089, 2.0115120824782733, -0.23384328526449305, -1.0260060492562115], [1.2898061575832047, 0.21249850994954056, 0.15720095478920837, -0.040523637447447566]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.1346842814215536], [1.2864840325176998], [-0.8422967301348002], [1.0081213620576015]]",[[0.0]]
6,"[2, 4, 4, 1]",2472.5770878418466,,"[[-0.0022163105817465095, -1.2343903006141317, 0.5081191900249593, -0.431104893056232], [-1.1268819861560544, 0.4033150331370435, 0.7092065479942927, 0.04087354696596254]]","[[0.07614693952878557, -0.00935199923863139, 0.07277631804931191, -0.03898516771117654]]","[[0.30802028403198567, 0.8374585621943831, -1.7185728712809767, -0.3171426696159309], [-0.17184063716628534, 0.6125792594225307, -1.1814179388190271, 0.1292857949997859], [0.7061209559938936, -2.2540223018199113, 1.3646561345659851, -0.19991959889289135], [0.40851809293224844, -0.18693365504521256, -0.43930261197763104, -0.2566732360446422]]","[[0.01209124607231832, -0.12870201084789745, -0.04809498009850058, 0.15358202081978942]]","[[-1.3136771961521116], [-1.2572585415787352], [0.9106983749838278], [0.5354307303521163]]",[[0.018671164593879845]]
7,"[2, 4, 4, 1]",2489.753870940985,,"[[-0.0840795702321986, -1.2614175921178876, 0.48196723546519876, -0.3392490706530892], [-1.192715443355639, 0.36868793367596886, 0.4757373743344473, 0.10823395928608542]]","[[-0.038903024364137444, 0.049231639011785885, -0.03855796553900699, 0.0894170180398483]]","[[0.28972028862680177, 0.6850157457735733, -1.7156459287566181, -0.24313797097244333], [-0.36611328476198607, 0.46540662194646276, -1.2781295281272484, 0.01781975571369999], [0.673831803191583, -2.2553922154301973, 1.4718603944965019, -0.2702973193264304], [0.4091617473307826, -0.17177576656830404, -0.4756092789335161, -0.1661920192002167]]","[[0.03289503283136688, -0.055095421891134755, -0.0542655866138623, -0.030014743185971506]]","[[-1.3301621308103426], [-1.3123552219551202], [1.1390359344134242], [0.6062153007167003]]",[[0.1018568887535076]]
8,"[2, 4, 4, 1]",2517.867938683772,,"[[-0.016346729756349994, -1.1827387118078772, 0.6321433957687114, -0.5589581226559446], [-1.198282314224724, 0.3937943177359455, 0.6245328348647362, -0.05198144161101575]]","[[0.015732723062509238, -0.02198779597543912, 0.034862649120499994, -0.04135160596311189]]","[[0.10235431996946232, 0.9155014761137235, -1.7374934798689297, -0.2413859595770229], [-0.3328814332379939, 0.5440920578469695, -1.2848849487923015, 0.14120137142977945], [0.6819490261245379, -2.3036596605793846, 1.39325357074722, -0.24208497641135318], [0.3479173510100621, -0.08271861495293623, -0.3938227207545595, -0.18110453237308202]]","[[0.2144377458940909, 0.05526967939169002, 0.09659556571534629, -0.007266030530421316]]","[[-1.3294168877339108], [-1.1559541573493395], [1.0216430088325656], [0.6304110679745839]]",[[-0.04768412383027624]]
9,"[2, 4, 4, 1]",961.4839950733184,,"[[0.0713352046227126, -1.1187305436413024, 0.44814973807632935, -0.41661570392234104], [-1.2412710403011489, 0.27783072576183654, 0.4249686648287013, 0.13632141614606744]]","[[-0.16339201588674368, 0.08745431498422546, 0.050768368649821954, 0.12262282849598977]]","[[0.30307626850111524, 0.6805010128549426, -1.6560684686876899, -0.1810923610527359], [-0.3016108494332407, 0.4739362581338211, -1.3057510755339887, 0.029000101409244326], [0.7375960653061103, -2.175793888331316, 1.5029733659746405, -0.31818911919909043], [0.27880219384423544, -0.23595422370651503, -0.40095132886690005, -0.08087906624047929]]","[[0.09945650792650838, -0.08393710371521627, -0.16856516497477636, -0.0023932988536390296]]","[[-1.281988663215099], [-1.4351552924413185], [1.2259318857701007], [0.6228412288791147]]",[[0.1940232144641752]]
