,size,score,code,Weights0,Bias0,Weights1,Bias1,Weights2,Bias2
142,"[2, 4, 4, 1]",3556.237475260791,,"[[0.13352842608713783, -1.1137375303609534, 0.36596080051483715, -0.49891194740504113], [-1.2626125282597376, 0.17410596242400445, 0.44110670503083904, 0.16138028405252167]]","[[-0.1369401558638402, 0.07138060944646928, -0.020426927180336896, 0.11641233244555382]]","[[0.27755670211641137, 0.6858575570042494, -1.6859582177215247, -0.1667269870300416], [-0.19568961157994869, 0.5043712745162129, -1.3066037357062972, 0.1086048505806483], [0.6922803157995301, -2.263881199970578, 1.4562019144456906, -0.34908514519684897], [0.3031198812851899, -0.2841653256561657, -0.2750911935729804, 0.06718036714491354]]","[[0.21419993460519682, -0.20424210707570223, -0.20742912687687387, 0.10544349291629469]]","[[-1.2309210549022753], [-1.483000214643792], [1.272933548090429], [0.6154296360514725]]",[[0.2380439099767758]]
145,"[2, 4, 4, 1]",3556.237475260791,,"[[0.13352842608713783, -1.1137375303609534, 0.36596080051483715, -0.49891194740504113], [-1.2626125282597376, 0.17410596242400445, 0.44110670503083904, 0.16138028405252167]]","[[-0.1369401558638402, 0.07138060944646928, -0.020426927180336896, 0.11641233244555382]]","[[0.27755670211641137, 0.6858575570042494, -1.6859582177215247, -0.1667269870300416], [-0.19568961157994869, 0.5043712745162129, -1.3066037357062972, 0.1086048505806483], [0.6922803157995301, -2.263881199970578, 1.4562019144456906, -0.34908514519684897], [0.3031198812851899, -0.2841653256561657, -0.2750911935729804, 0.06718036714491354]]","[[0.21419993460519682, -0.20424210707570223, -0.20742912687687387, 0.10544349291629469]]","[[-1.2309210549022753], [-1.483000214643792], [1.272933548090429], [0.6154296360514725]]",[[0.2380439099767758]]
148,"[2, 4, 4, 1]",3434.625966237263,,"[[0.13352842608713783, -1.1137375303609534, 0.36596080051483715, -0.49891194740504113], [-1.2626125282597376, 0.17410596242400445, 0.44110670503083904, 0.16138028405252167]]","[[-0.1369401558638402, 0.07138060944646928, -0.020426927180336896, 0.11641233244555382]]","[[0.27755670211641137, 0.6858575570042494, -1.6859582177215247, -0.1667269870300416], [-0.19568961157994869, 0.5043712745162129, -1.3066037357062972, 0.1086048505806483], [0.6922803157995301, -2.263881199970578, 1.4562019144456906, -0.34908514519684897], [0.3031198812851899, -0.2841653256561657, -0.2750911935729804, 0.06718036714491354]]","[[0.21419993460519682, -0.20424210707570223, -0.20742912687687387, 0.10544349291629469]]","[[-1.2309210549022753], [-1.483000214643792], [1.272933548090429], [0.6154296360514725]]",[[0.2380439099767758]]
151,"[2, 4, 4, 1]",3434.625966237263,,"[[0.13352842608713783, -1.1137375303609534, 0.36596080051483715, -0.49891194740504113], [-1.2626125282597376, 0.17410596242400445, 0.44110670503083904, 0.16138028405252167]]","[[-0.1369401558638402, 0.07138060944646928, -0.020426927180336896, 0.11641233244555382]]","[[0.27755670211641137, 0.6858575570042494, -1.6859582177215247, -0.1667269870300416], [-0.19568961157994869, 0.5043712745162129, -1.3066037357062972, 0.1086048505806483], [0.6922803157995301, -2.263881199970578, 1.4562019144456906, -0.34908514519684897], [0.3031198812851899, -0.2841653256561657, -0.2750911935729804, 0.06718036714491354]]","[[0.21419993460519682, -0.20424210707570223, -0.20742912687687387, 0.10544349291629469]]","[[-1.2309210549022753], [-1.483000214643792], [1.272933548090429], [0.6154296360514725]]",[[0.2380439099767758]]
152,"[2, 4, 4, 1]",5405.596770195716,,"[[0.23329953838294026, 1.1017892457460854, -0.6017029242287122, -1.5179856971229915], [0.5955348819371784, 0.8124547568566334, -0.4677887959045304, -0.8563716496672484]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.902638989272362, 0.6759202020457358, 0.5707068391137023, -0.7026972551180076], [-1.1050279595830934, 0.8422662316575696, -0.6944314937243825, 0.7313687494852117], [-1.0592656021352955, 0.8452836782074525, 0.8747397645394531, 1.631299458477596], [-0.7086256361774731, 0.330047936455727, -1.8723433836348868, 1.1237929635763801]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.716881098637013], [0.5109913710555476], [-0.6568234990760184], [-0.7387425430099527]]",[[0.0]]
154,"[2, 4, 4, 1]",1346.2308579773023,,"[[0.12119232093741265, -1.2375608097383903, 0.5001250987075625, -0.5840638175033822], [-1.4578658940618288, 0.2856898175222184, 0.4279102870853101, 0.24275232367640764]]","[[-0.018442642159879424, -0.10509684031936624, 0.04422506564632436, 0.27855534186834596]]","[[0.19539515917032524, 0.6055784451135118, -1.596410559260772, -0.189953619221928], [-0.3378530602347395, 0.4644040659873414, -1.3653288095821066, 0.09666718575714159], [0.6782222914654795, -2.316300117484578, 1.4092568052923986, -0.2790610617009311], [0.2883719659955585, -0.2383396652831238, -0.362185993491691, 0.26963577806660954]]","[[0.047992086502936626, -0.38311797114807167, -0.2038449354304589, 0.02821846042550631]]","[[-1.1769575945694901], [-1.4494906107008318], [1.400123747695834], [0.6361920572513273]]",[[0.3018978500468299]]
155,"[2, 4, 4, 1]",2312.072084485643,,"[[0.13241502122928242, -1.0844795939352938, 0.3164290279342917, -0.4986581595415507], [-1.2532847736555843, 0.15494061290806882, 0.43222283547531176, 0.17587607547220632]]","[[-0.1387994640691889, 0.04332967208702844, -0.01667968081786255, 0.10325920306022872]]","[[0.27559978137509483, 0.6845168318423627, -1.7477375570119478, -0.15949400790996682], [-0.21933777145646316, 0.5056419700207797, -1.2776876761957592, 0.1094753847540929], [0.699989532331558, -2.274773327830553, 1.4135533487121361, -0.2991315091612943], [0.33717780682223447, -0.31564298107232525, -0.28289447756115865, 0.07953254095233926]]","[[0.20243355593875467, -0.21706923822537366, -0.20053551501876876, 0.10073504888930446]]","[[-1.2372847966871168], [-1.5030393832364175], [1.284523479769635], [0.6256141602861038]]",[[0.2672469550202551]]
156,"[2, 4, 4, 1]",2420.92387223256,,"[[0.1568565559729394, -1.1338332282884345, 0.3569379529638943, -0.5143662208901751], [-1.2607724868243668, 0.16774120165473175, 0.4192391849217086, 0.14097130389408577]]","[[-0.12062174564444388, 0.0764230847514971, -0.04034673448512084, 0.10689511229058403]]","[[0.2840382958044289, 0.6911639955538789, -1.6725884907871258, -0.16850838396530424], [-0.19589028000961015, 0.48437271041846836, -1.3175945123006578, 0.10999078171850053], [0.6824579348463723, -2.2808708612645643, 1.4861011674564168, -0.37187904452949505], [0.3103236850822277, -0.2726065454718415, -0.2997633237584217, 0.0568735129070311]]","[[0.1800014465865647, -0.21151174063108924, -0.1570342866085947, 0.09467072412128376]]","[[-1.2262741266259796], [-1.475446921193038], [1.2343410031276045], [0.6558500082027227]]",[[0.2507220849673986]]
157,"[2, 4, 4, 1]",843.2824827257305,,"[[0.12099722913289439, -1.0656696425211507, 0.27799316237386107, -0.537198593488648], [-1.4176234305681825, 0.15247127045846118, 0.42368807039726386, 0.19989423113459154]]","[[-0.07636065166868766, -0.10596835189727792, 0.01871337148525757, 0.129498217430228]]","[[0.29212189714315023, 0.7013180630889679, -1.6995313161442331, -0.1799879176785016], [-0.14142201363256418, 0.5978329766667178, -1.312659384369867, 0.24839876383884701], [0.7781853899858304, -2.1729594750792773, 1.422998896640743, -0.28249958737842396], [0.3386168055333767, -0.326185312767986, -0.2982795993507182, 0.11600324408848928]]","[[0.3065289466832657, -0.33018468628055675, -0.22362660099593126, 0.17888577849778403]]","[[-1.1884664327367436], [-1.5209891458139153], [1.457562692111132], [0.6434239382825448]]",[[0.36893011135285136]]
158,"[2, 4, 4, 1]",1014.431823106622,,"[[0.1385125072103395, -1.2243440010994007, 0.5018889813417426, -0.5534481377231554], [-1.4484067243949605, 0.2850243794607336, 0.42139268932696755, 0.2556744312231059]]","[[0.011852822135732893, -0.1041850706329978, 0.05329942249092153, 0.3009916692932953]]","[[0.19136710775162072, 0.592958446319307, -1.5862656757672713, -0.19488159709063016], [-0.3498859751640711, 0.4484603463991778, -1.36002754972863, 0.12106180170269437], [0.6744158473495762, -2.328611872430698, 1.4079969919164887, -0.29282667915190275], [0.25815605632248695, -0.2624923214104434, -0.39515251812887614, 0.2604164821013364]]","[[0.04355872658865283, -0.3796638766786835, -0.2270713993921996, 0.017861219274581973]]","[[-1.1842208032969332], [-1.4401263488728475], [1.4074455450978662], [0.6452340743980662]]",[[0.31038376197414613]]
